Территория;Количество мужчин
Российская Федерация;6699.0
Центральный федеральный округ;1760.0
Белгородская область;68.0
Брянская область;20.0
Владимирская область;80.0
Воронежская область;130.0
Ивановская область;57.0
Калужская область;50.0
Костромская область;49.0
Курская область;69.0
Липецкая область;65.0
гор. Москва;510.0
Московская область;216.0
Орловская область;31.0
Рязанская область;82.0
Смоленская область;40.0
Тамбовская область;60.0
Тверская область;82.0
Тульская область;84.0
Ярославская область;67.0
Северо-Западный федеральный округ;566.0
Республика Карелия;22.0
Республика Коми;30.0
Архангельская область;23.0
Вологодская область;67.0
Калининградская область;59.0
Ленинградская область;85.0
гор. Санкт-Петербург;172.0
Мурманская область;25.0
Новгородская область;38.0
Псковская область;40.0
Ненецкий автономный округ;5.0
Южный федеральный округ;834.0
Республика Адыгея (Адыгея);30.0
Республика Калмыкия;42.0
Республика Крым;53.0
Краснодарский край;345.0
Астраханская область;48.0
Волгоградская область;121.0
Ростовская область;158.0
гор. Севастополь;37.0
Северо-Кавказский федеральный округ;402.0
Республика Дагестан;118.0
Республика Ингушетия;20.0
Кабардино-Балкарская Республика;42.0
Карачаево-Черкесская Республика;20.0
Республика Северная Осетия-Алания;47.0
Чеченская Республика;12.0
Ставропольский край;143.0
Приволжский федеральный округ;1316.0
Республика Башкортостан;165.0
Республика Марий Эл;29.0
Республика Мордовия;31.0
Республика Татарстан (Татарстан);139.0
Удмуртская Республика;89.0
Чувашская Республика - Чувашия;41.0
Пермский край;100.0
Кировская область;76.0
Нижегородская область;210.0
Оренбургская область;65.0
Пензенская область;90.0
Самарская область;123.0
Саратовская область;115.0
Ульяновская область;43.0
Уральский федеральный округ;536.0
Курганская область;35.0
Свердловская область;148.0
Тюменская область;141.0
Челябинская область;167.0
Ханты-Мансийский автономный округ - Югра;32.0
Ямало-Ненецкий автономный округ;13.0
Сибирский федеральный округ;809.0
Республика Алтай;22.0
Республика Тыва;31.0
Республика Хакасия;24.0
Алтайский край;145.0
Красноярский край;166.0
Иркутская область;91.0
Кемеровская область - Кузбасс;116.0
Новосибирская область;109.0
Омская область;91.0
Томская область;14.0
Дальневосточный федеральный округ;476.0
Республика Бурятия;57.0
Республика Саха (Якутия);44.0
Забайкальский край;63.0
Приморский край;116.0
Камчатский край;22.0
Хабаровский край;84.0
Амурская область;55.0
Магаданская область;8.0
Сахалинская область;16.0
Еврейская автономная область;9.0
Чукотский автономный округ;2.0
Федеральные территории;0.0
Сириус;0.0