Российская Федерация;757.0
Центральный федеральный округ;198.0
Белгородская область;15.0
Брянская область;1.0
Владимирская область;6.0
Воронежская область;9.0
Ивановская область;5.0
Калужская область;6.0
Костромская область;2.0
Курская область;5.0
Липецкая область;8.0
гор. Москва;52.0
Московская область;34.0
Орловская область;1.0
Рязанская область;15.0
Смоленская область;8.0
Тамбовская область;6.0
Тверская область;6.0
Тульская область;14.0
Ярославская область;5.0
Северо-Западный федеральный округ;70.0
Республика Карелия;5.0
Республика Коми;2.0
Архангельская область;2.0
Вологодская область;16.0
Калининградская область;4.0
Ленинградская область;12.0
гор. Санкт-Петербург;18.0
Мурманская область;2.0
Новгородская область;6.0
Псковская область;2.0
Ненецкий автономный округ;1.0
Южный федеральный округ;101.0
Республика Адыгея (Адыгея);8.0
Республика Калмыкия;4.0
Республика Крым;7.0
Краснодарский край;39.0
Астраханская область;7.0
Волгоградская область;14.0
Ростовская область;17.0
гор. Севастополь;5.0
Северо-Кавказский федеральный округ;39.0
Республика Дагестан;10.0
Республика Ингушетия;3.0
Кабардино-Балкарская Республика;1.0
Карачаево-Черкесская Республика;4.0
Республика Северная Осетия-Алания;6.0
Чеченская Республика;1.0
Ставропольский край;14.0
Приволжский федеральный округ;146.0
Республика Башкортостан;25.0
Республика Марий Эл;3.0
Республика Мордовия;2.0
Республика Татарстан (Татарстан);22.0
Удмуртская Республика;10.0
Чувашская Республика - Чувашия;5.0
Пермский край;12.0
Кировская область;6.0
Нижегородская область;16.0
Оренбургская область;5.0
Пензенская область;5.0
Самарская область;17.0
Саратовская область;13.0
Ульяновская область;5.0
Уральский федеральный округ;67.0
Курганская область;6.0
Свердловская область;16.0
Тюменская область;18.0
Челябинская область;22.0
Ханты-Мансийский автономный округ - Югра;4.0
Ямало-Ненецкий автономный округ;1.0
Сибирский федеральный округ;96.0
Республика Алтай;2.0
Республика Тыва;1.0
Республика Хакасия;4.0
Алтайский край;16.0
Красноярский край;18.0
Иркутская область;9.0
Кемеровская область - Кузбасс;20.0
Новосибирская область;13.0
Омская область;12.0
Томская область;1.0
Дальневосточный федеральный округ;40.0
Республика Бурятия;2.0
Республика Саха (Якутия);5.0
Забайкальский край;5.0
Приморский край;12.0
Камчатский край;1.0
Хабаровский край;6.0
Амурская область;5.0
Магаданская область;1.0
Сахалинская область;1.0
Еврейская автономная область;1.0
Чукотский автономный округ;1.0
Федеральные территории;0.0
Сириус;0.0
Российская Федерация;686.0
Центральный федеральный округ;181.0
Белгородская область;5.0
Брянская область;3.0
Владимирская область;10.0
Воронежская область;12.0
Ивановская область;5.0
Калужская область;5.0
Костромская область;2.0
Курская область;9.0
Липецкая область;11.0
гор. Москва;46.0
Московская область;27.0
Орловская область;1.0
Рязанская область;8.0
Смоленская область;2.0
Тамбовская область;10.0
Тверская область;9.0
Тульская область;8.0
Ярославская область;8.0
Северо-Западный федеральный округ;65.0
Республика Карелия;2.0
Республика Коми;3.0
Архангельская область;2.0
Вологодская область;9.0
Калининградская область;9.0
Ленинградская область;14.0
гор. Санкт-Петербург;19.0
Мурманская область;1.0
Новгородская область;5.0
Псковская область;1.0
Ненецкий автономный округ;0.0
Южный федеральный округ;108.0
Республика Адыгея (Адыгея);3.0
Республика Калмыкия;1.0
Республика Крым;4.0
Краснодарский край;38.0
Астраханская область;4.0
Волгоградская область;26.0
Ростовская область;31.0
гор. Севастополь;1.0
Северо-Кавказский федеральный округ;41.0
Республика Дагестан;10.0
Республика Ингушетия;1.0
Кабардино-Балкарская Республика;2.0
Карачаево-Черкесская Республика;3.0
Республика Северная Осетия-Алания;5.0
Чеченская Республика;1.0
Ставропольский край;19.0
Приволжский федеральный округ;136.0
Республика Башкортостан;16.0
Республика Марий Эл;2.0
Республика Мордовия;2.0
Республика Татарстан (Татарстан);15.0
Удмуртская Республика;9.0
Чувашская Республика - Чувашия;6.0
Пермский край;13.0
Кировская область;7.0
Нижегородская область;21.0
Оренбургская область;6.0
Пензенская область;9.0
Самарская область;13.0
Саратовская область;10.0
Ульяновская область;7.0
Уральский федеральный округ;42.0
Курганская область;6.0
Свердловская область;9.0
Тюменская область;16.0
Челябинская область;8.0
Ханты-Мансийский автономный округ - Югра;3.0
Ямало-Ненецкий автономный округ;0.0
Сибирский федеральный округ;71.0
Республика Алтай;0.0
Республика Тыва;3.0
Республика Хакасия;1.0
Алтайский край;12.0
Красноярский край;20.0
Иркутская область;12.0
Кемеровская область - Кузбасс;3.0
Новосибирская область;12.0
Омская область;6.0
Томская область;2.0
Дальневосточный федеральный округ;42.0
Республика Бурятия;3.0
Республика Саха (Якутия);6.0
Забайкальский край;1.0
Приморский край;13.0
Камчатский край;1.0
Хабаровский край;9.0
Амурская область;7.0
Магаданская область;0.0
Сахалинская область;1.0
Еврейская автономная область;1.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
Российская Федерация;2384.0
Центральный федеральный округ;643.0
Белгородская область;17.0
Брянская область;6.0
Владимирская область;32.0
Воронежская область;53.0
Ивановская область;28.0
Калужская область;17.0
Костромская область;21.0
Курская область;21.0
Липецкая область;21.0
гор. Москва;202.0
Московская область;64.0
Орловская область;17.0
Рязанская область;27.0
Смоленская область;13.0
Тамбовская область;16.0
Тверская область;27.0
Тульская область;41.0
Ярославская область;20.0
Северо-Западный федеральный округ;161.0
Республика Карелия;9.0
Республика Коми;12.0
Архангельская область;6.0
Вологодская область;16.0
Калининградская область;14.0
Ленинградская область;26.0
гор. Санкт-Петербург;33.0
Мурманская область;6.0
Новгородская область;19.0
Псковская область;18.0
Ненецкий автономный округ;2.0
Южный федеральный округ;274.0
Республика Адыгея (Адыгея);9.0
Республика Калмыкия;17.0
Республика Крым;22.0
Краснодарский край;127.0
Астраханская область;12.0
Волгоградская область;30.0
Ростовская область;45.0
гор. Севастополь;12.0
Северо-Кавказский федеральный округ;105.0
Республика Дагестан;20.0
Республика Ингушетия;9.0
Кабардино-Балкарская Республика;12.0
Карачаево-Черкесская Республика;2.0
Республика Северная Осетия-Алания;17.0
Чеченская Республика;3.0
Ставропольский край;42.0
Приволжский федеральный округ;453.0
Республика Башкортостан;53.0
Республика Марий Эл;10.0
Республика Мордовия;14.0
Республика Татарстан (Татарстан);22.0
Удмуртская Республика;32.0
Чувашская Республика - Чувашия;12.0
Пермский край;39.0
Кировская область;27.0
Нижегородская область;91.0
Оренбургская область;27.0
Пензенская область;34.0
Самарская область;47.0
Саратовская область;32.0
Ульяновская область;13.0
Уральский федеральный округ;175.0
Курганская область;12.0
Свердловская область;50.0
Тюменская область;35.0
Челябинская область;65.0
Ханты-Мансийский автономный округ - Югра;9.0
Ямало-Ненецкий автономный округ;4.0
Сибирский федеральный округ;349.0
Республика Алтай;9.0
Республика Тыва;13.0
Республика Хакасия;15.0
Алтайский край;87.0
Красноярский край;65.0
Иркутская область;40.0
Кемеровская область - Кузбасс;51.0
Новосибирская область;38.0
Омская область;25.0
Томская область;6.0
Дальневосточный федеральный округ;224.0
Республика Бурятия;25.0
Республика Саха (Якутия);12.0
Забайкальский край;45.0
Приморский край;44.0
Камчатский край;11.0
Хабаровский край;36.0
Амурская область;36.0
Магаданская область;4.0
Сахалинская область;5.0
Еврейская автономная область;5.0
Чукотский автономный округ;1.0
Федеральные территории;0.0
Сириус;0.0